id,seafloor
Posidonia_Sure.00001.png,Posidonia
Posidonia_Sure.00002.png,Posidonia
Posidonia_Sure.00008.png,Posidonia
Posidonia_Sure.00011.png,Posidonia
Posidonia_Sure.00029.png,Posidonia
Posidonia_Sure.00036.png,Posidonia
Posidonia_Sure.00038.png,Posidonia
Posidonia_Sure.00039.png,Posidonia
Posidonia_Sure.00040.png,Posidonia
Posidonia_Sure.00041.png,Posidonia
Posidonia_Sure.00042.png,Posidonia
Posidonia_Sure.00044.png,Posidonia
Posidonia_Sure.00045.png,Posidonia
Posidonia_Sure.00047.png,Posidonia
Posidonia_Sure.00048.png,Posidonia
Posidonia_Sure.00049.png,Posidonia
Posidonia_Sure.00050.png,Posidonia
Posidonia_Sure.00051.png,Posidonia
Posidonia_Sure.00052.png,Posidonia
Posidonia_Sure.00053.png,Posidonia
Posidonia_Sure.00054.png,Posidonia
Posidonia_Sure.00055.png,Posidonia
Posidonia_Sure.00056.png,Posidonia
Posidonia_Sure.00057.png,Posidonia
Posidonia_Sure.00058.png,Posidonia
Posidonia_Sure.00059.png,Posidonia
Posidonia_Sure.00061.png,Posidonia
Posidonia_Sure.00065.png,Posidonia
Posidonia_Sure.00074.png,Posidonia
Posidonia_Sure.00081.png,Posidonia
Posidonia_Sure.00082.png,Posidonia
Posidonia_Sure.00083.png,Posidonia
Posidonia_Sure.00084.png,Posidonia
Posidonia_Sure.00085.png,Posidonia
Posidonia_Sure.00086.png,Posidonia
Posidonia_Sure.00091.png,Posidonia
Posidonia_Sure.00095.png,Posidonia
Posidonia_Sure.00096.png,Posidonia
Posidonia_Sure.00097.png,Posidonia
Posidonia_Sure.00098.png,Posidonia
Posidonia_Sure.00101.png,Posidonia
Posidonia_Sure.00102.png,Posidonia
Posidonia_Sure.00103.png,Posidonia
Posidonia_Sure.00134.png,Posidonia
Posidonia_Sure.00137.png,Posidonia
Posidonia_Sure.00141.png,Posidonia
Posidonia_Sure.00142.png,Posidonia
Posidonia_Sure.00146.png,Posidonia
Posidonia_Sure.00147.png,Posidonia
Posidonia_Sure.00161.png,Posidonia
Posidonia_Sure.00162.png,Posidonia
Posidonia_Sure.00163.png,Posidonia
Posidonia_Sure.00165.png,Posidonia
Posidonia_Sure.00166.png,Posidonia
Posidonia_Sure.00167.png,Posidonia
Posidonia_Sure.00168.png,Posidonia
Posidonia_Sure.00178.png,Posidonia
Posidonia_Sure.00179.png,Posidonia
Posidonia_Sure.00180.png,Posidonia
Posidonia_Sure.00181.png,Posidonia
Ripple 45°_Sure.00008.png,Ripple 45°
Ripple 45°_Sure.00009.png,Ripple 45°
Ripple 45°_Sure.00011.png,Ripple 45°
Ripple 45°_Sure.00013.png,Ripple 45°
Ripple 45°_Sure.00016.png,Ripple 45°
Ripple 45°_Sure.00017.png,Ripple 45°
Ripple 45°_Sure.00018.png,Ripple 45°
Ripple 45°_Sure.00022.png,Ripple 45°
Ripple 45°_Sure.00025.png,Ripple 45°
Ripple 45°_Sure.00026.png,Ripple 45°
Ripple 45°_Sure.00030.png,Ripple 45°
Ripple 45°_Sure.00031.png,Ripple 45°
Ripple 45°_Sure.00036.png,Ripple 45°
Ripple 45°_Sure.00038.png,Ripple 45°
Ripple 45°_Sure.00039.png,Ripple 45°
Ripple 45°_Sure.00040.png,Ripple 45°
Ripple 45°_Sure.00041.png,Ripple 45°
Ripple 45°_Sure.00044.png,Ripple 45°
Ripple 45°_Sure.00045.png,Ripple 45°
Ripple 45°_Sure.00047.png,Ripple 45°
Ripple 45°_Sure.00049.png,Ripple 45°
Ripple 45°_Sure.00053.png,Ripple 45°
Ripple 45°_Sure.00055.png,Ripple 45°
Ripple 45°_Sure.00056.png,Ripple 45°
Ripple 45°_Sure.00057.png,Ripple 45°
Ripple 45°_Sure.00058.png,Ripple 45°
Ripple 45°_Sure.00065.png,Ripple 45°
Ripple 45°_Sure.00073.png,Ripple 45°
Ripple 45°_Sure.00074.png,Ripple 45°
Ripple 45°_Sure.00077.png,Ripple 45°
Ripple 45°_Sure.00078.png,Ripple 45°
Ripple 45°_Sure.00079.png,Ripple 45°
Ripple 45°_Sure.00081.png,Ripple 45°
Ripple 45°_Sure.00084.png,Ripple 45°
Ripple 45°_Sure.00086.png,Ripple 45°
Ripple 45°_Sure.00087.png,Ripple 45°
Ripple 45°_Sure.00088.png,Ripple 45°
Ripple 45°_Sure.00089.png,Ripple 45°
Ripple 45°_Sure.00092.png,Ripple 45°
Ripple 45°_Sure.00093.png,Ripple 45°
Ripple 45°_Sure.00095.png,Ripple 45°
Ripple 45°_Sure.00099.png,Ripple 45°
Ripple 45°_Sure.00100.png,Ripple 45°
Ripple 45°_Sure.00101.png,Ripple 45°
Ripple 45°_Sure.00103.png,Ripple 45°
Ripple 45°_Sure.00104.png,Ripple 45°
Ripple 45°_Sure.00105.png,Ripple 45°
Ripple 45°_Sure.00106.png,Ripple 45°
Ripple 45°_Sure.00107.png,Ripple 45°
Ripple 45°_Sure.00108.png,Ripple 45°
Ripple 45°_Sure.00109.png,Ripple 45°
Ripple 45°_Sure.00110.png,Ripple 45°
Ripple 45°_Sure.00114.png,Ripple 45°
Ripple 45°_Sure.00115.png,Ripple 45°
Ripple 45°_Sure.00124.png,Ripple 45°
Ripple 45°_Sure.00125.png,Ripple 45°
